"","velocidad_recomendada","severidad","fatales","festivos","iluminación","lesiones_menores","carretera","lesiones_graves","limite_velocidad","clima"
"6",40,"Accidente sin lesiones",0,"No festivo","Amanecer o atardecer",0,"Asfalto",0,50,"Lluvia ligera"
"8",80,"Accidente sin lesiones",0,"No festivo","Soleado",0,"Asfalto",0,100,"Buen clima"
"53",80,"Accidente leve",0,"No festivo","Amanecer o atardecer",1,"Asfalto",0,100,"Buen clima"
"60",45,"Accidente sin lesiones",0,"No festivo","Soleado",0,"Asfalto",0,50,"Buen clima"
"78",45,"Accidente grave",0,"Pascua","Nublado",9,"Asfalto",1,100,"Lluvia intensa"
"146",85,"Accidente grave",0,"No festivo","Oscuro",1,"Asfalto",1,100,"Nieve"
"165",65,"Accidente leve",0,"No festivo","Oscuro",1,"Asfalto",0,100,"Buen clima"
"187",30,"Accidente leve",0,"No festivo","Oscuro",1,"Sin Asfalto",0,100,"Lluvia ligera"
"202",45,"Accidente leve",0,"No festivo","Nublado",1,"Asfalto",0,100,"Buen clima"
"247",50,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Buen clima"
"360",55,"Accidente leve",0,"No festivo","Nublado",3,"Asfalto",0,100,"Lluvia intensa"
"370",65,"Accidente sin lesiones",0,"No festivo","Oscuro",0,"Asfalto",0,100,"Buen clima"
"382",70,"Accidente sin lesiones",0,"No festivo","Soleado",0,"Asfalto",0,100,"Buen clima"
"432",65,"Accidente leve",0,"No festivo","Nublado",1,"Asfalto",0,100,"Lluvia ligera"
"436",55,"Accidente leve",0,"No festivo","Nublado",2,"Asfalto",0,100,"Lluvia ligera"
"443",25,"Accidente sin lesiones",0,"No festivo","Soleado",0,"Asfalto",0,50,"Buen clima"
"460",50,"Accidente sin lesiones",0,"Navidad y Año Nuevo","Soleado",0,"Sin Asfalto",0,100,"Buen clima"
"469",50,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Lluvia intensa"
"514",35,"Accidente sin lesiones",0,"No festivo","Soleado",0,"Asfalto",0,80,"Buen clima"
"575",85,"Accidente sin lesiones",0,"No festivo","Oscuro",0,"Asfalto",0,100,"Lluvia ligera"
"648",65,"Accidente leve",0,"No festivo","Nublado",4,"Asfalto",0,100,"Lluvia ligera"
"691",75,"Accidente leve",0,"No festivo","Oscuro",2,"Asfalto",0,100,"Lluvia ligera"
"702",45,"Accidente sin lesiones",0,"No festivo","Oscuro",0,"Asfalto",0,100,"Niebla"
"821",65,"Accidente sin lesiones",0,"No festivo","Oscuro",0,"Asfalto",0,100,"Buen clima"
"829",80,"Accidente leve",0,"No festivo","Oscuro",3,"Asfalto",0,100,"Buen clima"
"830",75,"Accidente leve",0,"No festivo","Soleado",1,"Asfalto",0,100,"Buen clima"
"833",65,"Accidente leve",0,"No festivo","Nublado",1,"Asfalto",0,100,"Buen clima"
"848",55,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Niebla"
"854",45,"Accidente fatal",1,"No festivo","Nublado",1,"Asfalto",2,100,"Buen clima"
"876",75,"Accidente sin lesiones",0,"No festivo","Oscuro",0,"Asfalto",0,80,"Lluvia ligera"
"895",85,"Accidente fatal",1,"No festivo","Oscuro",0,"Asfalto",1,100,"Buen clima"
"911",85,"Accidente sin lesiones",0,"No festivo","Soleado",0,"Asfalto",0,100,"Buen clima"
"919",70,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Lluvia ligera"
"953",55,"Accidente sin lesiones",0,"No festivo","Soleado",0,"Asfalto",0,100,"Buen clima"
"967",75,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Lluvia ligera"
"984",45,"Accidente leve",0,"No festivo","Nublado",2,"Asfalto",0,100,"Lluvia intensa"
"986",70,"Accidente sin lesiones",0,"No festivo","Oscuro",0,"Asfalto",0,100,"Buen clima"
"1005",45,"Accidente leve",0,"No festivo","Oscuro",1,"Asfalto",0,100,"Lluvia ligera"
"1048",35,"Accidente leve",0,"No festivo","Soleado",1,"Asfalto",0,100,"Buen clima"
"1050",30,"Accidente sin lesiones",0,"No festivo","Amanecer o atardecer",0,"Sin Asfalto",0,100,"Lluvia ligera"
"1077",20,"Accidente sin lesiones",0,"No festivo","Soleado",0,"Sin Asfalto",0,100,"Buen clima"
"1115",30,"Accidente leve",0,"No festivo","Soleado",2,"Asfalto",0,50,"Buen clima"
"1148",95,"Accidente leve",0,"Pascua","Soleado",2,"Asfalto",0,100,"Buen clima"
"1160",35,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Buen clima"
"1182",45,"Accidente leve",0,"No festivo","Nublado",1,"Asfalto",0,100,"Niebla"
"1203",30,"Accidente sin lesiones",0,"No festivo","Oscuro",0,"Sin Asfalto",0,100,"Buen clima"
"1228",40,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,50,"Buen clima"
"1232",25,"Accidente sin lesiones",0,"No festivo","Soleado",0,"Asfalto",0,50,"Buen clima"
"1236",85,"Accidente sin lesiones",0,"No festivo","Oscuro",0,"Asfalto",0,100,"Niebla"
"1238",55,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Lluvia ligera"
"1246",75,"Accidente grave",0,"No festivo","Soleado",0,"Asfalto",2,100,"Buen clima"
"1259",45,"Accidente sin lesiones",0,"No festivo","Soleado",0,"Asfalto",0,50,"Buen clima"
"1263",50,"Accidente leve",0,"No festivo","Soleado",1,"Asfalto",0,100,"Buen clima"
"1273",30,"Accidente leve",0,"No festivo","Soleado",1,"Asfalto",0,80,"Buen clima"
"1301",20,"Accidente sin lesiones",0,"No festivo","Soleado",0,"Asfalto",0,50,"Buen clima"
"1422",30,"Accidente sin lesiones",0,"No festivo","Soleado",0,"Asfalto",0,50,"Buen clima"
"1459",75,"Accidente fatal",1,"No festivo","Nublado",5,"Asfalto",3,100,"Lluvia ligera"
"1513",65,"Accidente sin lesiones",0,"No festivo","Oscuro",0,"Asfalto",0,100,"Lluvia ligera"
"1584",35,"Accidente grave",0,"No festivo","Soleado",4,"Asfalto",1,100,"Buen clima"
